"map_version","operation","entity","support_allowed","actual_result","reject_codes","json_paths","affected_refs"
"cimc_v01","staticMove_expected_blocked","facilities/F_CR006","false","rejected","STATIC_SHARED_NODE","/nodes/N_CR_11733dacf7",""
"cimc_v02","name_only_not_geometry","F_CR001","true","changed","","","facilities/F_CR001"
"cimc_v02","node_position","N_CR_e6c5d9022b","true","changed","","","nodes/N_CR_e6c5d9022b;roads/R_CR_50530d1b95;movements/M_CR_420ca36bb9;movements/M_CR_991fa3f400;movements/M_CR_c755f28938;movements/M_CR_ce36289b3e;movements/M_CR_2299a994e0;movements/M_CR_1b88fb41af;junctions/J_CR_de6aba3c0d;resources/RES_J_CR_de6aba3c0d;sources/source_editor_geometry"
"cimc_v02","node_translate","nodes/N_CR_e6c5d9022b","true","changed","","","nodes/N_CR_e6c5d9022b;roads/R_CR_50530d1b95;movements/M_CR_420ca36bb9;movements/M_CR_991fa3f400;movements/M_CR_c755f28938;movements/M_CR_ce36289b3e;movements/M_CR_2299a994e0;movements/M_CR_1b88fb41af;junctions/J_CR_de6aba3c0d;resources/RES_J_CR_de6aba3c0d;sources/source_editor_geometry"
"cimc_v02","road_translate","roads/R_CR_50530d1b95","true","changed","","","nodes/N_CR_de6aba3c0d;nodes/N_CR_e6c5d9022b;roads/R_CR_50530d1b95;roads/R_CR_de44e8328f;roads/R_CR_500a5b6450;movements/M_CR_947cc2f5c0;movements/M_CR_4460ef3b1c;movements/M_CR_8932fdfb57;movements/M_CR_61a04ccda7;movements/M_CR_6f023a35f7;movements/M_CR_36fb0ade12;movements/M_CR_420ca36bb9;movements/M_CR_991fa3f400;movements/M_CR_c755f28938;movements/M_CR_ce36289b3e;movements/M_CR_2299a994e0;movements/M_CR_1b88fb41af;junctions/J_CR_9d25489cad;junctions/J_CR_de6aba3c0d;resources/RES_J_CR_9d25489cad;resources/RES_J_CR_de6aba3c0d;sources/source_editor_geometry"
"cimc_v02","road_shapePoints","R_CR_50530d1b95","true","changed","","","roads/R_CR_50530d1b95;movements/M_CR_420ca36bb9;movements/M_CR_991fa3f400;movements/M_CR_c755f28938;movements/M_CR_ce36289b3e;movements/M_CR_2299a994e0;movements/M_CR_1b88fb41af;junctions/J_CR_de6aba3c0d;resources/RES_J_CR_de6aba3c0d;sources/source_editor_geometry"
"cimc_v02","node_rotate","nodes/N_CR_e6c5d9022b","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v02","road_rotate","roads/R_CR_50530d1b95","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"cimc_v02","zone_boundary","Z_CR001","true","changed","","","zones/Z_CR001;sources/source_editor_geometry"
"cimc_v02","road_direction","R_CR_50530d1b95","true","rejected","ARC_DIRECTION_CONFLICT","/movements/M_CR_c755f28938/incomingArc;/movements/M_CR_ce36289b3e/incomingArc","roads/R_CR_50530d1b95;movements/M_CR_420ca36bb9;movements/M_CR_991fa3f400;movements/M_CR_c755f28938;movements/M_CR_ce36289b3e;movements/M_CR_2299a994e0;movements/M_CR_1b88fb41af;junctions/J_CR_de6aba3c0d;resources/RES_J_CR_de6aba3c0d"
