"map_version","operation","entity","support_allowed","actual_result","reject_codes","json_paths","affected_refs"
"dalian_v01","road_shapePoints","R_DL_dd4384110c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_DL_dd4384110c",""
"dalian_v01","node_rotate","nodes/N_DL_b3d5453746","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"dalian_v01","road_rotate","roads/R_DL_dd4384110c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"dalian_v01","zone_boundary","Z_DL001","true","changed","","","zones/Z_DL001;sources/source_editor_geometry"
"dalian_v01","road_direction","R_DL_dd4384110c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_DL_dd4384110c",""
"dalian_v01","boundary","F_DL002","true","changed","","","facilities/F_DL002;sources/source_editor_geometry"
"dalian_v01","boundary_translate","facilities/F_DL002","true","changed","","","facilities/F_DL002;sources/source_editor_geometry"
"dalian_v01","boundary_rotate","facilities/F_DL002","true","changed","","","facilities/F_DL002;sources/source_editor_geometry"
"dalian_v01","add_node","N_GA01_probe_add","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"dalian_v01","copy_boundary","facilities/F_DL002","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"dalian_v01","delete_boundary","facilities/F_DL002","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"dalian_v01","split_road","R_DL_dd4384110c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"dalian_v01","no_op_boundary","F_DL002","true","no_op","","",""
"dalian_v01","road_widthM_design_assumption","R_DL_dd4384110c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_DL_dd4384110c",""
"dalian_v01","road_heightLimitM_design_assumption","R_DL_dd4384110c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_DL_dd4384110c",""
"dalian_v01","road_massLimitKg_design_assumption","R_DL_dd4384110c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_DL_dd4384110c",""
"dalian_v01","road_speedLimitMps_design_assumption","R_DL_dd4384110c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_DL_dd4384110c",""
"dalian_v01","staticMove_expected_blocked","facilities/F_DL007","false","rejected","STATIC_SHARED_NODE","/nodes/N_DL_f99e9199a7",""
"dalian_v02","name_only_not_geometry","F_DL027","true","changed","","","facilities/F_DL027"
"dalian_v02","node_position","N_MR_5f726b8f2fdd","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/nodes/N_MR_5f726b8f2fdd",""
"dalian_v02","node_translate","nodes/N_MR_5f726b8f2fdd","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"dalian_v02","road_translate","roads/R_MR_78f5d09878b6","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"dalian_v02","road_shapePoints","R_MR_78f5d09878b6","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_MR_78f5d09878b6",""
"dalian_v02","node_rotate","nodes/N_MR_5f726b8f2fdd","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"dalian_v02","road_rotate","roads/R_MR_78f5d09878b6","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
